topic,question,optionA,optionB,optionC,optionD,correctIndex,explanation,difficulty
Trigonometry - Function Properties,What is the period of sin(x) and cos(x)?,π,2π,π/2,4π,1,Both sine and cosine have a period of 2π. This means sin(x + 2π) = sin(x) and cos(x + 2π) = cos(x) for all x. The graphs repeat every 2π units.,easy
Trigonometry - Zeros,Where are the zeros of sin(x)?,x = nπ (integer multiples of π),x = π/2 + nπ,x = 2nπ,x = π/4 + nπ,0,"sin(x) = 0 when x = nπ for any integer n (0, ±π, ±2π, ...). These are points where the y-coordinate on the unit circle is zero.",medium
Trigonometry - Tangent,What is the period of tan(x)?,π/2,π,2π,3π,1,tan(x) has period π (not 2π like sine and cosine). This is because tan(x + π) = sin(x + π)/cos(x + π) = (-sin x)/(-cos x) = sin x/cos x = tan(x).,medium
Trigonometry - Tangent Asymptotes,Where does tan(x) have vertical asymptotes?,x = nπ,x = π/2 + nπ (odd multiples of π/2),x = 2nπ,Nowhere,1,"tan(x) = sin(x)/cos(x) is undefined when cos(x) = 0, which occurs at x = π/2 + nπ (π/2, 3π/2, 5π/2, ...). These are the vertical asymptotes.",medium
Complex Numbers - Complex Plane,"In the complex plane, where are all real numbers located?",On the imaginary axis,On the real axis (horizontal axis),In the first quadrant only,At the origin,1,"Real numbers x are represented as x + 0i, so their imaginary part is zero. This means they all lie on the horizontal axis (real axis) of the complex plane.",easy
Complex Numbers - Arithmetic,How do you divide complex numbers in rectangular form?,Divide real and imaginary parts separately,Multiply numerator and denominator by the conjugate of the denominator,Convert to polar form first,Use the quadratic formula,1,"To divide z₁/z₂, multiply both numerator and denominator by the conjugate of z₂. This eliminates the imaginary part from the denominator, making calculation easier.",medium
Complex Numbers - Modulus,What does |z| represent for a complex number z = x + yi?,x + y,√(x² + y²),x² + y²,x - y,1,"|z| = √(x² + y²) is the modulus (or absolute value) of z. Geometrically, it represents the distance from the origin to the point (x,y) in the complex plane.",easy
Complex Numbers - Polar Form,"In polar form z = r(cos θ + i sin θ), what does r represent?",The angle (argument),The modulus (distance from origin),The real part,The imaginary part,1,"In polar form, r is the modulus |z| = √(x² + y²), which is the distance from the origin. θ is the argument (angle from positive real axis).",easy
Complex Numbers - De Moivre's Theorem,How do you find the n-th roots of a complex number using De Moivre's Theorem?,Raise it to the power 1/n,"Take n-th root of modulus and divide argument by n, with k = 0,1,...,n-1",Multiply modulus by n and argument by n,Use the quadratic formula,1,"For z = r(cos θ + i sin θ), the n-th roots are: z_k = ⁿ√r(cos((θ+2πk)/n) + i sin((θ+2πk)/n)) for k = 0, 1, ..., n-1. This gives n equally spaced roots on a circle.",hard
Complex Numbers - Conjugate,What is z · z̄ (complex number times its conjugate)?,0,|z|² (modulus squared),2z,z²,1,"For z = x + yi, z̄ = x - yi, so z·z̄ = (x+yi)(x-yi) = x² - (yi)² = x² + y² = |z|². This is always a non-negative real number.",medium
Vectors - Dot Product,"What is the dot product ⃗a · ⃗b for vectors ⃗a = <3,2> and ⃗b = <-4,3>?",5,-6,-12,18,1,⃗a · ⃗b = (3)(-4) + (2)(3) = -12 + 6 = -6. The dot product multiplies corresponding components and sums the results.,easy
Vectors - Magnitude,"What is the magnitude of vector ⃗v = <-4, 3>?",1,5,7,25,1,|⃗v| = √((-4)² + 3²) = √(16 + 9) = √25 = 5. The magnitude is calculated using the Pythagorean theorem.,easy
Vectors - Orthogonality,When are two non-zero vectors orthogonal (perpendicular)?,When their sum is zero,When their dot product is zero,When their cross product is zero,When their magnitudes are equal,1,Two non-zero vectors are orthogonal if and only if their dot product equals zero: ⃗a · ⃗b = 0. This is the algebraic condition for perpendicularity.,medium
Vectors - Cross Product,What is a key property of the cross product ⃗a × ⃗b?,It equals the dot product,It is parallel to both ⃗a and ⃗b,It is perpendicular to both ⃗a and ⃗b,It has magnitude 1,2,The cross product ⃗a × ⃗b produces a vector that is perpendicular (orthogonal) to both ⃗a and ⃗b. This is a defining characteristic of the cross product.,medium
Vectors - Parallel Vectors,How do you find a unit vector in the direction of ⃗v?,⃗v + 1,⃗v / |⃗v|,⃗v²,|⃗v| · ⃗v,1,The unit vector in direction of ⃗v is û = ⃗v/|⃗v|. Dividing by the magnitude scales the vector to length 1 while preserving direction.,medium
Vectors - Projection,What is the formula for orthogonal projection of ⃗x onto line spanned by ⃗u?,⃗x · ⃗u,(⃗u · ⃗x / ⃗u · ⃗u) ⃗u,⃗x × ⃗u,⃗x + ⃗u,1,The orthogonal projection is: proj_⃗u(⃗x) = (⃗u·⃗x / ⃗u·⃗u)⃗u. This gives the point on the line closest to ⃗x.,hard
Mathematical Reasoning - Fallacies,What is wrong with: -1 = √((-1)²) = √1 = 1?,"Nothing, -1 = 1 is correct","√(x²) = |x|, not x, so √((-1)²) = 1, not -1",You can't square negative numbers,The square root of 1 is ±1,1,"The error is in assuming √((-1)²) = -1. Actually, √(x²) = |x| (absolute value) because √ denotes the principal (non-negative) square root. So √((-1)²) = √1 = 1.",medium
Mathematical Reasoning - Division by Zero,Why can't we divide by zero?,It's just a rule with no reason,Because division by zero is undefined - no unique value satisfies the definition,Because calculators can't do it,"We can divide by zero, the result is infinity",1,"Division by zero is undefined because there's no unique number that satisfies the definition. If a/0 = b, then a = b×0 = 0, which only works if a=0, but then any b works!",medium
Complex Numbers - Roots of Unity,How many 4th roots does any non-zero complex number have?,1,2,4,Infinite,2,"Every non-zero complex number has exactly n distinct n-th roots (4 fourth roots, 3 cube roots, etc.). These are equally spaced around a circle in the complex plane.",medium
Trigonometry - Special Values,What is cos(π)?,0,1,-1,√2/2,2,"cos(π) = -1. At angle π (180°), the point on the unit circle is (-1, 0), so the x-coordinate (cosine) is -1.",easy
Zahlenlehre - Ganze Zahlen und Brüche,Vereinfachen Sie den Bruch 15/20.,3/4,5/4,3/5,15/20,0,"Zähler und Nenner werden durch ihren größten gemeinsamen Teiler (ggT), hier 5, dividiert. 15:5=3 und 20:5=4.",easy
Zahlenlehre - Ganze Zahlen und Brüche,Was ist die Primfaktorzerlegung von 180?,23310,22335,2356,4335,1,"Man teilt 180 systematisch durch Primzahlen: 180:2=90, 90:2=45, 45:3=15, 15:3=5, 5:5=1. Die Primfaktoren sind 2, 2, 3, 3, 5.",easy
Zahlenlehre - Ganze Zahlen und Brüche,Berechnen Sie 3/5 * 10/9.,30/45,2/3,1/3,6/9,1,Das Produkt zweier Brüche ist das Produkt der Zähler geteilt durch das Produkt der Nenner: (310)/(59) = 30/45. Gekürzt ergibt das 2/3.,easy
Zahlenlehre - Ganze Zahlen und Brüche,Wie lautet der Kehrwert des Bruches 7/13?,13/7,-7/13,7/13,1/7,0,"Den Kehrwert eines Bruches erhält man, indem man Zähler und Nenner vertauscht.",easy
Zahlenlehre - Ganze Zahlen und Brüche,Was bedeutet 'Teilen durch einen Bruch'?,Multiplikation mit dem Zähler,Subtraktion des Bruches,Multiplikation mit dem Kehrwert,Division durch den Zähler,2,Teilen durch einen Bruch bedeutet Multiplikation mit seinem Kehrwert.,easy
Zahlenlehre - Ganze Zahlen und Brüche,Was ist das kleinste gemeinsame Vielfache (kgV) von 6 und 9?,18,36,54,3,0,"Die Vielfachen von 6 sind 6, 12, 18, 24... Die Vielfachen von 9 sind 9, 18, 27... Das kleinste gemeinsame Vielfache ist 18.",easy
Zahlenlehre - Ganze Zahlen und Brüche,Berechnen Sie 5/13 - 12/13.,-7/13,17/13,7/13,-7/0,0,"Bei gleichnamigen Brüchen werden die Zähler subtrahiert, der Nenner bleibt gleich: 5 - 12 = -7.",easy
Zahlenlehre - Ganze Zahlen und Brüche,Welche Zahl ist eine Primzahl?,9,15,21,23,3,"Eine Primzahl ist nur durch 1 und sich selbst teilbar. 9, 15 und 21 haben weitere Teiler, 23 nicht.",easy
Zahlenlehre - Ganze Zahlen und Brüche,Was ist das Ergebnis von (2/3) / (4/9)?,3/2,8/27,2/3,1/2,0,"Man teilt durch einen Bruch, indem man mit dem Kehrwert multipliziert: 2/3 * 9/4 = 18/12 = 3/2.",easy
Zahlenlehre - Ganze Zahlen und Brüche,Berechnen Sie 1/6 + 1/9.,2/15,1/54,5/18,2/9,2,Das kgV von 6 und 9 ist 18. Die Brüche werden zu 3/18 und 2/18 erweitert. Die Summe ist 5/18.,medium
Zahlenlehre - Ganze Zahlen und Brüche,Was ist der größte gemeinsame Teiler (ggT) von 60 und 144?,6,10,12,24,2,Die Primfaktorzerlegung von 60 ist 2235 und von 144 ist 222233. Der ggT ist das Produkt der gemeinsamen Faktoren: 223 = 12.,medium
Zahlenlehre - Ganze Zahlen und Brüche,Vereinfachen Sie den Bruch 144/216.,12/18,2/3,3/4,4/5,1,Der ggT von 144 und 216 ist 72. 144/72 = 2 und 216/72 = 3. Der vereinfachte Bruch ist 2/3.,medium
Zahlenlehre - Ganze Zahlen und Brüche,Berechnen Sie 1/3 + 1/6 - 1/4.,1/8,1/5,3/12,1/4,3,"Das kgV von 3, 6 und 4 ist 12. Die Rechnung lautet 4/12 + 2/12 - 3/12 = 3/12, was gekürzt 1/4 ist.",medium
Zahlenlehre - Ganze Zahlen und Brüche,Was ist die Primfaktorzerlegung von 585?,3539,33513,5117,3195,1,"585 ist durch 3 teilbar (195), 195 ist durch 3 teilbar (65), 65 ist durch 5 teilbar (13). Also 33513.",medium
Zahlenlehre - Ganze Zahlen und Brüche,Berechnen Sie (5/9 + 3/10) / (3/4 - 8/9).,-154/25,77/5,-77/5,154/25,0,Zähler: 50/90 + 27/90 = 77/90. Nenner: 27/36 - 32/36 = -5/36. Division: (77/90) * (-36/5) = -2772/450 = -154/25.,medium
Zahlenlehre - Ganze Zahlen und Brüche,Welche rationale Zahl wird durch den Bruch -22/7 dargestellt?,ca. -3.14,Eine irrationale Zahl,Eine ganze Zahl,Eine negative rationale Zahl,3,"Ein Bruch, der aus zwei ganzen Zahlen besteht (Nenner ungleich Null), stellt per Definition eine rationale Zahl dar.",medium
Zahlenlehre - Ganze Zahlen und Brüche,"Machen Sie die Brüche 5/12, 7/18 und 3/8 gleichnamig.","30/72, 28/72, 27/72","60/144, 56/144, 54/144","15/36, 14/36, nicht möglich","5/48, 7/48, 3/48",0,"Das kgV von 12, 18 und 8 ist 72. 5/12 = 30/72, 7/18 = 28/72, 3/8 = 27/72.",medium
Zahlenlehre - Ganze Zahlen und Brüche,Berechnen Sie 2/3 + 3/10 - 2/15.,5/6,7/10,1/2,21/30,0,"Das kgV von 3, 10 und 15 ist 30. Die Rechnung ist 20/30 + 9/30 - 4/30 = 25/30, was zu 5/6 gekürzt wird.",hard
Zahlenlehre - Ganze Zahlen und Brüche,Was ist die Primfaktorzerlegung von 3003?,371113,31001,7429,37143,0,3003 ist durch 3 teilbar (1001). 1001 ist durch 7 teilbar (143). 143 ist durch 11 teilbar (13). Also 371113.,hard
Zahlenlehre - Potenzen und Wurzeln,Was ist 7^0?,7,1,0,Nicht definiert,1,Für jede Zahl a ungleich 0 gilt a^0 = 1.,easy
Zahlenlehre - Potenzen und Wurzeln,Berechnen Sie (-2)^3.,8,-8,6,-6,1,(-2)^3 = (-2) * (-2) * (-2) = 4 * (-2) = -8.,easy
Zahlenlehre - Potenzen und Wurzeln,Was ist a^-k laut Potenzgesetz?,ak,-a^k,1/a^k,k/a,2,Per Definition ist a^-k = 1/a^k für a ungleich 0.,easy
Zahlenlehre - Potenzen und Wurzeln,Vereinfachen Sie a^r * a^s.,a^(rs),a^(r+s),a^(r-s),(aa)^(r+s),1,Die Rechenregel für Potenzen besagt: a^r * a^s = a^(r+s).,easy
Zahlenlehre - Potenzen und Wurzeln,Was ist die Quadratwurzel aus 81?,9,-9,±9,81/2,0,"Die Quadratwurzel √a wird als die nicht-negative Zahl definiert, deren Quadrat gleich a ist. Somit ist √81 = 9.",easy
Zahlenlehre - Potenzen und Wurzeln,Was ist (a^r)^s?,a^(r+s),a^(rs),a^(r-s),a^(r/s),1,Die Rechenregel für Potenzen lautet (a^r)^s = a^(rs).,easy
Zahlenlehre - Potenzen und Wurzeln,Welcher Ausdruck ist äquivalent zu a^(1/2)?,a/2,a2,√a,a^2,2,Potenzen mit rationalen Exponenten sind als Wurzeln definiert: a^(1/n) = ⁿ√a. Somit a^(1/2) = √a.,easy
Zahlenlehre - Potenzen und Wurzeln,Berechnen Sie (4/9)^(-1).,9/4,-4/9,4/9,-9/4,0,"Ein negativer Exponent bedeutet, dass der Kehrwert gebildet wird: (4/9)^(-1) = 9/4.",easy
Zahlenlehre - Potenzen und Wurzeln,Was ist die 3. Wurzel aus 27?,9,3,±3,Nicht definiert,1,"Die 3. Wurzel aus a ist die Zahl w mit w³ = a. Da 3³ = 27, ist die 3. Wurzel aus 27 gleich 3.",easy
Zahlenlehre - Potenzen und Wurzeln,Was ist das Ergebnis von 5^(-2)?,-10,-25,1/25,1/10,2,"5^(-2) ist per Definition gleich 1/5^2, was 1/25 ist.",easy
Zahlenlehre - Potenzen und Wurzeln,Schreiben Sie √20 in Standardform.,4√5,2√10,2√5,√20,2,"Um die Standardform zu finden, werden Quadrate vor die Wurzel gesetzt: √20 = √(45) = √4 * √5 = 2√5.",medium
Zahlenlehre - Potenzen und Wurzeln,Berechnen Sie (5/3)^(-3).,125/27,-125/27,27/125,-27/125,2,(5/3)^(-3) = (3/5)^3 = 3^3 / 5^3 = 27/125.,medium
Zahlenlehre - Potenzen und Wurzeln,Vereinfachen Sie den Ausdruck a^(3/2) * a^(-1/2).,a,a^2,a^(-3/4),a^(1/2),0,Nach den Potenzgesetzen werden die Exponenten addiert: 3/2 + (-1/2) = 2/2 = 1. Das Ergebnis ist a^1 = a.,medium
Zahlenlehre - Potenzen und Wurzeln,Schreiben Sie 7^(3/2) als Wurzelausdruck.,(√7)^2,√7^3,³√7,7/√2,1,a^(m/n) = ⁿ√a^m. Also ist 7^(3/2) = √7^3. Dies kann weiter zu 7√7 vereinfacht werden.,medium
Zahlenlehre - Potenzen und Wurzeln,Was ist die Standardform von √63?,9√7,3√7,7√9,Nicht vereinfachbar,1,63 kann als 9 * 7 geschrieben werden. Daher ist √63 = √(97) = √9 * √7 = 3√7.,medium
Zahlenlehre - Potenzen und Wurzeln,Berechnen Sie ((√3)/2)^2.,3/4,9/4,3/2,√3/4,0,((√3)/2)^2 = (√3)^2 / 2^2 = 3/4.,medium
Zahlenlehre - Potenzen und Wurzeln,Was ist die 3. Wurzel aus -8?,2,Nicht definiert,-2,±2,2,"Die 3. Wurzel kann auch aus negativen Zahlen gezogen werden. Da (-2)³ = -8, ist die 3. Wurzel aus -8 gleich -2.",medium
Zahlenlehre - Potenzen und Wurzeln,Welcher Ausdruck ist äquivalent zu 1/√a?,a^(-1/2),a^(1/2),a^(-2),√a,0,Nach den Potenzgesetzen ist 1/√a = 1/a^(1/2) = a^(-1/2).,medium
Zahlenlehre - Potenzen und Wurzeln,Schreiben Sie ³√(14/75) in Standardform.,(1/15) * ³√630,2 * ³√(3/5),Nicht vereinfachbar,(1/5) * ³√(14/3),0,Der Nenner wird zu einer dritten Potenz gemacht: ³√(143²5 / (35²3²5)) = ³√(630 / 15³) = (1/15) * ³√630.,hard
Zahlenlehre - Potenzen und Wurzeln,Vereinfachen Sie (2 * ³√4) * (5 * ⁴√8).,10 * ¹²√(2^17),10 * ¹²√32,10 * ⁷√12,Nicht vereinfachbar,0,Schreibe als Potenzen: 22^(2/3) * 52^(3/4) = 10 * 2^(2/3 + 3/4) = 10 * 2^(8/12 + 9/12) = 10 * 2^(17/12) = 10 * ¹²√(2^17).,hard
Zahlenlehre - Komplexe Zahlen,Was ist der Wert von i^2?,1,-1,i,-i,1,Die imaginäre Einheit i ist definiert durch die Eigenschaft i^2 = -1.,easy
Zahlenlehre - Komplexe Zahlen,Was ist die Summe der komplexen Zahlen (2 + 3i) und (4 - i)?,6 + 4i,6 - 2i,6 + 2i,2 + 2i,2,Real- und Imaginärteile werden getrennt addiert: (2+4) + (3-1)i = 6 + 2i.,easy
Zahlenlehre - Komplexe Zahlen,Wie lautet die konjugiert komplexe Zahl zu z = a + bi?,a - bi,-a + bi,-a - bi,b + ai,0,Die konjugiert komplexe Zahl z̄ zu z = a + bi ist definiert als z̄ = a - bi.,easy
Zahlenlehre - Komplexe Zahlen,Welche Zahl ist der Realteil von z = 5 - 7i?,5,-7,7,5i,0,Für eine komplexe Zahl z = a + bi ist a der Realteil. Hier ist a = 5.,easy
Zahlenlehre - Komplexe Zahlen,Welche Zahl ist der Imaginärteil von z = 5 - 7i?,5,-7,7,-7i,1,Für eine komplexe Zahl z = a + bi ist b der Imaginärteil. Hier ist b = -7.,easy
Zahlenlehre - Komplexe Zahlen,Was ist der Betrag |z| einer komplexen Zahl z = a + bi?,a + b,a^2 + b^2,√(a^2 + b^2),√(a+b),2,Der Betrag |z| ist definiert als |z| = √(a^2 + b^2).,easy
Zahlenlehre - Komplexe Zahlen,Berechnen Sie das Produkt (3 + 2i) * i.,-2 + 3i,3i + 2,-3 + 2i,3 - 2i,0,(3 + 2i) * i = 3i + 2ii = 3i + 2*(-1) = -2 + 3i.,medium
Zahlenlehre - Komplexe Zahlen,Berechnen Sie den Betrag von z = 3 + 4i.,5,7,25,√7,0,|z| = √(3^2 + 4^2) = √(9 + 16) = √25 = 5.,medium
Zahlenlehre - Komplexe Zahlen,Was ist das Ergebnis von (1 + i)^2?,2i,-2i,1+i^2,0,0,(1 + i)^2 = 1^2 + 21i + i^2 = 1 + 2i - 1 = 2i.,medium
Zahlenlehre - Komplexe Zahlen,Berechnen Sie (2+i) * (3-2i).,6 - 2i,4 - i,8 - i,8 + i,2,(2+i)(3-2i) = 23 - 22i + i3 - i2i = 6 - 4i + 3i - 2*(-1) = 6 - i + 2 = 8 - i.,medium
Algebra - Grundlagen,Welche Operation hat nach den Prioritätsregeln Vorrang?,Addition vor Multiplikation,Multiplikation vor Potenzierung,Klammern vor allem anderen,Subtraktion vor Division,2,"Klammern haben die höchste Priorität, gefolgt von Potenzen, dann Punktrechnung (Multiplikation/Division) und schließlich Strichrechnung (Addition/Subtraktion).",easy
Algebra - Grundlagen,Lösen Sie die Klammer auf: 3(2a + 5).,6a + 5,5a + 8,6a + 15,2a + 15,2,Nach dem Distributivgesetz wird jeder Term in der Klammer mit dem Faktor multipliziert: 32a + 35 = 6a + 15.,easy
Algebra - Grundlagen,Klammern Sie den gemeinsamen Faktor aus: 3a + 12.,3(a + 4),a(3 + 12),3(a + 12),15a,0,Der größte gemeinsame Teiler von 3a und 12 ist 3. Daher 3a + 12 = 3(a + 4).,easy
Algebra - Grundlagen,Was ist die Bedeutung von 2ab?,2+a+b,2ab,2a+b,2(a+b),1,In der Algebra wird das Multiplikationszeichen oft weggelassen. 2ab bedeutet 2 * a * b.,easy
Algebra - Grundlagen,Berechnen Sie 9 + 14 : 7.,23/7,3,11,16,2,Gemäß den Prioritätsregeln (Punkt- vor Strichrechnung) wird zuerst dividiert: 14 : 7 = 2. Dann wird addiert: 9 + 2 = 11.,easy
Algebra - Grundlagen,Vereinfachen Sie den Ausdruck 3a(4b-2c) + 2b(a-3c).,14ab - 6ac - 6bc,12ab - 6ac + 2ab + 6bc,14ab - 6ac + 6bc,12ab - 12bc,0,Ausmultiplizieren: 12ab - 6ac + 2ab - 6bc. Zusammenfassen: (12ab+2ab) - 6ac - 6bc = 14ab - 6ac - 6bc.,easy
Algebra - Grundlagen,Lösen Sie die Klammern auf: -5(3a - 2).,-15a - 10,-15a - 2,-15a + 10,15a + 10,2,-5 * 3a = -15a und -5 * (-2) = +10. Das Ergebnis ist -15a + 10.,easy
Algebra - Grundlagen,Was ist das Ergebnis von a - b + c gemäß den Prioritätsregeln?,a - (b + c),(a - b) + c,a - b + c (nicht eindeutig),a + (c - b),1,Addition und Subtraktion haben die gleiche Priorität und werden von links nach rechts ausgeführt: (a - b) + c.,easy
Algebra - Grundlagen,Klammern Sie den größtmöglichen Faktor aus: 15a^2b + 5ab^3.,5ab(3a + b^2),5ab(3a + b),5a(3ab + b^3),ab(15a + 5b^2),0,Der ggT der Terme ist 5ab. Ausklammern ergibt 5ab(3a + b^2).,medium
Algebra - Grundlagen,Vereinfachen Sie: 4a(b+c) - 5a(2b-3c).,-6ab + 19ac,-6ab - 11ac,14ab - 11ac,ab + 19ac,0,Ausmultiplizieren: 4ab + 4ac - 10ab + 15ac. Zusammenfassen: (4ab-10ab) + (4ac+15ac) = -6ab + 19ac.,medium
Algebra - Grundlagen,Was besagt die 'Bananenformel' (a+b)(c+d)?,ac + bd,ad + bc,(a+b)c + (a+b)d,ac + ad + bc + bd,3,Die 'Bananenformel' ist eine Eselsbrücke für das Ausmultiplizieren zweier Binome: (a+b)(c+d) = ac + ad + bc + bd.,medium
Algebra - Grundlagen,Klammern Sie den gemeinsamen Ausdruck aus: a(b+3) + 3(b+3).,(a+3)(b+3),3a(b+3),a(b+3)^2,3b+3a,0,"Der gemeinsame Ausdruck (b+3) kann ausgeklammert werden, was (a+3)(b+3) ergibt.",medium
Algebra - Grundlagen,Vereinfachen Sie: 2a(a+6) - 4(a+2).,2a^2 + 8a - 8,2a^2 + 12a - 8,2a^2 + 8a + 8,2a^2 - 2a - 4,0,2a^2 + 12a - 4a - 8 = 2a^2 + 8a - 8.,medium
Algebra - Grundlagen,Vereinfachen Sie (3a+2b)(a-4b).,3a^2 - 8b^2,3a^2 - 10ab - 8b^2,3a^2 - 14ab - 8b^2,3a^2 + 10ab - 8b^2,1,(3a)(a) + (3a)(-4b) + (2b)(a) + (2b)(-4b) = 3a^2 - 12ab + 2ab - 8b^2 = 3a^2 - 10ab - 8b^2.,medium
Algebra - Grundlagen,Klammern Sie den gemeinsamen Faktor aus: -4a^2b^3c^2 + 2a^2b^2c^2 - 6a^2bc^2.,-2a^2bc^2(2b^2 - b + 3),-2abc(2ab^2c - abc + 3c),2a^2bc^2(-2b^2 + b - 3),-2a^2b(2b^2c^2 - bc^2 + 3c^2),0,Der größte gemeinsame Faktor ist -2a^2bc^2. Ausklammern ergibt -2a^2bc^2(2b^2 - b + 3).,medium
Algebra - Binomische Formeln,Wie lautet die erste binomische Formel für (a+b)^2?,a^2 + b^2,a^2 - 2ab + b^2,a^2 + 2ab + b^2,a^2 - b^2,2,Die erste binomische Formel lautet (a+b)^2 = a^2 + 2ab + b^2.,easy
Algebra - Binomische Formeln,Wie lautet die dritte binomische Formel für (a+b)(a-b)?,a^2 + b^2,a^2 - 2ab + b^2,a^2 + 2ab + b^2,a^2 - b^2,3,Die dritte binomische Formel lautet (a+b)(a-b) = a^2 - b^2.,easy
Algebra - Binomische Formeln,Berechnen Sie (x+6)^2.,x^2 + 36,x^2 + 6x + 36,x^2 + 12x + 36,x^2 + 12,2,Mit der ersten binomischen Formel: x^2 + 2x6 + 6^2 = x^2 + 12x + 36.,easy
Algebra - Binomische Formeln,Berechnen Sie (y-2)^2.,y^2 - 4,y^2 - 4y + 4,y^2 + 4y + 4,y^2 - 2y + 4,1,Mit der zweiten binomischen Formel: y^2 - 2y2 + 2^2 = y^2 - 4y + 4.,easy
Algebra - Binomische Formeln,Faktorisieren Sie x^2 - 9.,(x-3)^2,(x+3)(x-3),(x+3)^2,(x-9)(x+1),1,Mit der dritten binomischen Formel (rückwärts): x^2 - 3^2 = (x+3)(x-3).,easy
Algebra - Binomische Formeln,Berechnen Sie (2a+5)^2.,4a^2 + 25,4a^2 + 10a + 25,2a^2 + 20a + 25,4a^2 + 20a + 25,3,(2a)^2 + 2*(2a)5 + 5^2 = 4a^2 + 20a + 25.,easy
Algebra - Binomische Formeln,Faktorisieren Sie 4a^2 - 9b^2.,(2a-3b)^2,(2a+3b)(2a-3b),(4a-9b)(a+b),(2a-3b)(2a-3b),1,Dies ist die Form (2a)^2 - (3b)^2. Die Faktorisierung ist (2a+3b)(2a-3b).,easy
Algebra - Binomische Formeln,Wie lautet die Formel für (a+b)^3?,a^3 + b^3,a^3 + a^2b + ab^2 + b^3,a^3 + 3a^2b + 3ab^2 + b^3,a^3 + 2a^2b + 2ab^2 + b^3,2,Durch Ausmultiplizieren von (a+b)(a+b)^2 erhält man a^3 + 3a^2b + 3ab^2 + b^3.,easy
Algebra - Binomische Formeln,Berechnen Sie (x+1)(x-1).,x^2+1,x^2-1,x^2-2x+1,x^2+2x+1,1,Anwendung der dritten binomischen Formel: x^2 - 1^2 = x^2 - 1.,easy
Algebra - Binomische Formeln,Was ist (a-b)^2 - (a+b)^2?,0,-4ab,4ab,2a^2 - 2b^2,1,(a^2 - 2ab + b^2) - (a^2 + 2ab + b^2) = a^2 - 2ab + b^2 - a^2 - 2ab - b^2 = -4ab.,easy
Algebra - Binomische Formeln,Faktorisieren Sie a^2 + 10a + 25.,(a+5)^2,(a+10)(a+2.5),(a+25)(a+1),(a+5)(a-5),0,Dies ist die Struktur von a^2 + 2ab + b^2 mit a=a und b=5. Also (a+5)^2.,medium
