topic,question,optionA,optionB,optionC,optionD,correctIndex,explanation,difficulty
"Trigonometry - Signs","In which quadrant is sin positive and cos negative?","First (I)","Second (II)","Third (III)","Fourth (IV)",1,"Quadrant II (90° to 180°): sine is positive (y > 0), cosine is negative (x < 0). Remember: All Students Take Calculus.",medium
"Algebra - Absolute Value","|−5| = ?","5","-5","0","±5",0,"|x| represents distance from zero, always non-negative. |-5| = 5.",easy
"Algebra - Inequalities","If x < 0, is x² positive or negative?","Negative","Positive","Zero","Could be either",1,"Squaring any real number (except 0) gives a positive result. (-3)² = 9 > 0",easy
"Complex Numbers - Real Part","What is Re(5 - 3i)?","5","-3","8","2",0,"Re(a + bi) = a. The real part of 5 - 3i is 5.",easy
"Complex Numbers - Imaginary Part","What is Im(5 - 3i)?","-3","3i","5","-3i",0,"Im(a + bi) = b (the coefficient, not bi). The imaginary part of 5 - 3i is -3.",easy
"Vectors - Dimension","What is the dimension of vector <1,2,3,4>?","1","2","3","4",3,"Dimension = number of components. <1,2,3,4> has 4 components, so dimension = 4.",easy
"Trigonometry - Range","What is the range of f(x) = sin(x)?","[0, 1]","[-1, 1]","All real numbers","[0, 2π]",1,"Sine oscillates between -1 and 1. The range is all y-values: [-1, 1].",easy
"Geometry - Circle","What is the radius of x² + y² = 25?","25","5","√25","2π(5)",1,"Standard form x² + y² = r². Here r² = 25, so r = 5.",easy
"Algebra - Zero Product Property","If (x-2)(x+3) = 0, what are the solutions?","x = 2, -3","x = -2, 3","x = 2, 3","x = -2, -3",0,"If ab = 0, then a = 0 or b = 0. So x-2 = 0 (x=2) or x+3 = 0 (x=-3).",easy
"Complex Numbers - Equality","If a+bi = 3+4i, what is a?","3","4","7","3+4i",0,"Two complex numbers are equal if real parts match and imaginary parts match. So a = 3.",easy
"Vectors - Cross Product Sign","In 3D, what determines the direction of a⃗ × b⃗?","Right-hand rule","Left-hand rule","Length of vectors","Dot product",0,"Use right-hand rule: fingers curl from a⃗ to b⃗, thumb points to a⃗ × b⃗ direction.",medium
